ts	cpu	mem	net_io	block_io	pids	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775662935	36.17%	230.9MiB / 3.884GiB	2.67GB / 8.54GB	423MB / 0B	11	3	527	0	618	0	0	0	7	65220703	15305
1775662938	35.24%	230.9MiB / 3.884GiB	2.67GB / 8.55GB	423MB / 0B	11	3	527	0	617	0	0	0	7	65242123	15309
1775662941	35.57%	230.5MiB / 3.884GiB	2.67GB / 8.55GB	423MB / 0B	11	3	527	0	618	0	0	0	7	65264064	15309
1775662944	36.40%	230.6MiB / 3.884GiB	2.67GB / 8.56GB	423MB / 0B	11	3	527	0	616	0	0	0	7	65284895	15313
1775662947	37.91%	230.5MiB / 3.884GiB	2.67GB / 8.56GB	423MB / 0B	12	3	527	0	618	0	0	0	7	65306720	15313
1775662950	38.27%	230.3MiB / 3.884GiB	2.68GB / 8.57GB	423MB / 0B	12	3	527	0	618	0	0	0	7	65328456	15313
1775662953	37.48%	230.8MiB / 3.884GiB	2.68GB / 8.58GB	423MB / 0B	12	3	527	0	618	0	0	0	7	65349532	15319
1775662956	38.18%	230.6MiB / 3.884GiB	2.68GB / 8.58GB	423MB / 0B	11	3	527	0	617	0	0	0	7	65371239	15319
1775662959	37.44%	231.1MiB / 3.884GiB	2.68GB / 8.59GB	423MB / 0B	11	3	527	0	618	0	0	0	7	65393128	15319
1775662962	36.79%	230.4MiB / 3.884GiB	2.68GB / 8.6GB	423MB / 0B	11	3	527	0	617	0	0	0	7	65414408	15319
1775662965	39.11%	230.4MiB / 3.884GiB	2.69GB / 8.6GB	423MB / 0B	11	3	527	0	618	0	0	0	7	65436822	15319
1775662968	38.07%	227.8MiB / 3.884GiB	2.69GB / 8.61GB	423MB / 0B	11	3	527	0	616	0	0	0	7	65457704	15319
1775662971	38.20%	227.6MiB / 3.884GiB	2.69GB / 8.61GB	423MB / 0B	11	3	527	0	618	0	0	0	7	65479286	15319
1775662974	37.72%	227.8MiB / 3.884GiB	2.69GB / 8.62GB	423MB / 0B	11	3	527	0	616	0	0	0	7	65500991	15319
1775662977	37.93%	228MiB / 3.884GiB	2.69GB / 8.63GB	424MB / 0B	12	3	527	0	618	0	0	0	7	65522599	15323
1775662980	38.28%	228.3MiB / 3.884GiB	2.69GB / 8.63GB	424MB / 0B	12	3	527	0	618	0	0	0	7	65546183	15323
1775662984	42.48%	228.4MiB / 3.884GiB	2.7GB / 8.64GB	424MB / 0B	12	3	527	0	617	0	0	0	7	65575001	15330
1775662987	41.81%	228.6MiB / 3.884GiB	2.7GB / 8.65GB	424MB / 0B	11	3	527	0	617	0	0	0	7	65597557	15330
1775662990	43.03%	228.1MiB / 3.884GiB	2.7GB / 8.65GB	424MB / 0B	11	3	527	0	617	0	0	0	7	65620691	15330
1775662993	37.68%	227.9MiB / 3.884GiB	2.7GB / 8.66GB	424MB / 0B	11	3	527	0	617	0	0	0	7	65641536	15331
1775662996	38.62%	228.1MiB / 3.884GiB	2.7GB / 8.66GB	424MB / 0B	11	3	527	0	617	0	0	0	7	65663509	15331
1775662999	38.08%	228.4MiB / 3.884GiB	2.71GB / 8.67GB	424MB / 0B	11	3	527	0	617	0	0	0	7	65685135	15331
